date,type,location,count
2021-08-01,Vendor/Visitor,Teaching and Learning,1
2021-08-01,Student,Timber Creek High,1
2021-08-01,Student,Lake Nona High,3
2021-08-01,Employee,Timber Springs Middle,1
2021-08-01,Employee,Tildenville Elementary,1
2021-08-01,Employee,Sunshine Elementary,1
2021-08-01,Employee,Riverside Elementary,1
2021-08-01,Employee,Orange Technical College - Westside,1
2021-08-01,Employee,Operations,1
2021-08-01,Employee,Ocoee Middle,1
2021-08-01,Employee,Lawton Chiles Elementary,1
2021-08-01,Employee,Lancaster Elementary,1
2021-08-01,Employee,Lake Como School (K-8),1
2021-08-01,Employee,College Park Middle,1
2021-08-01,Employee,Bay Lake Elementary,1
2021-07-31,Employee,Zellwood Elementary,1
2021-07-31,Employee,Winter Park High,1
2021-07-31,Employee,Wetherbee Elementary,1
2021-07-31,Employee,Roberto Clemente Middle,1
2021-07-31,Employee,Oak Ridge High,1
2021-07-31,Employee,Alternative Education Centers,1
2021-07-30,Student,Westpointe Elementary,1
2021-07-30,Student,Oak Ridge High,1
2021-07-30,Student,Evans High,1
2021-07-30,Student,Chickasaw Elementary,1
2021-07-30,Employee,Union Park Elementary,1
2021-07-30,Employee,Timber Creek High,1
2021-07-30,Employee,Three Points Elementary,1
2021-07-30,Employee,Rock Springs Elementary,1
2021-07-30,Employee,Orlando Gifted Academy,1
2021-07-30,Employee,Orange Technical College - Mid Florida,1
2021-07-30,Employee,Ocoee Middle,1
2021-07-30,Employee,Lake Weston Elementary,1
2021-07-30,Employee,Lake Nona High,1
2021-07-30,Employee,John Young Elementary,1
2021-07-30,Employee,Human Resources,1
2021-07-30,Employee,Forsyth Woods Elementary,1
2021-07-30,Employee,Facilities Services,2
2021-07-30,Employee,Evans High,1
2021-07-30,Employee,Dream Lake Elementary,1
2021-07-30,Employee,Cypress Creek High,1
2021-07-30,Employee,Curriculum & Digital Learning,1
2021-07-30,Employee,Conway Elementary,1
2021-07-30,Employee,Catalina Elementary,1
2021-07-30,Employee,Bay Meadows Elementary,1
2021-07-29,Student,Winegard Elementary,1
2021-07-29,Student,West Creek Elementary,1
2021-07-29,Student,Pinar Elementary,2
2021-07-29,Student,Alternative Education Centers,1
2021-07-29,Employee,Winter Park 9th Grade Center,1
2021-07-29,Employee,Windy Ridge School (K-8),1
2021-07-29,Employee,Vista Lakes Elementary,1
2021-07-29,Employee,Moss Park Elementary,1
2021-07-29,Employee,Lockhart Elementary,1
2021-07-29,Employee,Cheney Elementary,1
2021-07-29,Employee,Bay Meadows Elementary,1
2021-07-29,Employee,Bay Lake Elementary,1
2021-07-28,Vendor/Visitor,Ridgewood Park Elementary,1
2021-07-28,Student,West Orange High,1
2021-07-28,Student,Wekiva High,1
2021-07-28,Student,Tildenville Elementary,1
2021-07-28,Student,OCPS Academic Center for Excellence,1
2021-07-28,Student,Magnolia School,1
2021-07-28,Student,Laureate Park Elementary,1
2021-07-28,Student,Forsyth Woods Elementary,1
2021-07-28,Student,East River High,1
2021-07-28,Student,Colonial High,1
2021-07-28,Employee,Wetherbee Elementary,1
2021-07-28,Employee,Union Park Middle,1
2021-07-28,Employee,Teaching and Learning,1
2021-07-28,Employee,Ridgewood Park Elementary,1
2021-07-28,Employee,"Research, Accountability & Grants",1
2021-07-28,Employee,Pershing School (K-8),1
2021-07-28,Employee,Operations,3
2021-07-28,Employee,Ocoee Middle,1
2021-07-28,Employee,Lovell Elementary,1
2021-07-28,Employee,Lockhart Elementary,1
2021-07-28,Employee,Lake Como School (K-8),1
2021-07-28,Employee,Gotha Middle,1
2021-07-28,Employee,Evans High,1
2021-07-28,Employee,Edgewater High,1
2021-07-28,Employee,Cheney Elementary,1
2021-07-28,Employee,Carver Middle,2
2021-07-27,Student,West Orange High,2
2021-07-27,Student,Three Points Elementary,1
2021-07-27,Student,Ocoee Middle,1
2021-07-27,Student,Freedom High,1
2021-07-27,Student,Boone High,1
2021-07-27,Employee,Teaching and Learning,1
2021-07-27,Employee,Southwood Elementary,1
2021-07-27,Employee,Robinswood Middle,1
2021-07-27,Employee,Ocoee High,1
2021-07-27,Employee,Magnolia School,1
2021-07-27,Employee,Lockhart Elementary,1
2021-07-27,Employee,Information Technology Services,1
2021-07-27,Employee,Horizon West Middle,1
2021-07-27,Employee,Facilities Services,1
2021-07-27,Employee,Engelwood Elementary,1
2021-07-27,Employee,Eagle Creek Elementary,1
2021-07-27,Employee,Dr. Phillips High,1
2021-07-27,Employee,Dover Shores Elementary,1
2021-07-27,Employee,Cheney Elementary,1
2021-07-27,Employee,Castle Creek Elementary,1
2021-07-27,Employee,Bridgewater Middle,1
2021-07-26,Student,Winter Park High,1
2021-07-26,Student,Windermere High,1
2021-07-26,Student,Ocoee Middle,1
2021-07-26,Student,Maxey Elementary,1
2021-07-26,Student,Laureate Park Elementary,1
2021-07-26,Student,Lake Buena Vista High,1
2021-07-26,Student,Edgewater High,1
2021-07-26,Student,Aloma Elementary,2
2021-07-26,Employee,Westpointe Elementary,2
2021-07-26,Employee,Timber Creek High,1
2021-07-26,Employee,Orange Technical College - Westside,2
2021-07-26,Employee,Operations,3
2021-07-26,Employee,Little River Elementary,1
2021-07-26,Employee,Facilities Services,4
2021-07-26,Employee,Dillard St. Elementary,1
2021-07-26,Employee,Corner Lake Middle,1
2021-07-26,Employee,Columbia Elementary,1
2021-07-26,Employee,Apopka High,1
2021-07-26,Employee,Aloma Elementary,1
2021-07-25,Student,Jones High,1
2021-07-24,Student,Forsyth Woods Elementary,1
2021-07-23,Vendor/Visitor,West Orange High,1
2021-07-23,Student,Waterford Elementary,1
2021-07-23,Student,Spring Lake Elementary,1
2021-07-23,Student,Ocoee High,1
2021-07-23,Student,Meadow Woods Elementary,1
2021-07-23,Student,Maxey Elementary,1
2021-07-23,Student,Apopka High,1
2021-07-23,Employee,West Orange High,1
2021-07-23,Employee,Pinar Elementary,1
2021-07-23,Employee,Operations,4
2021-07-23,Employee,Lockhart Middle,1
2021-07-23,Employee,Killarney Elementary,1
2021-07-23,Employee,Hidden Oaks Elementary,1
2021-07-23,Employee,Boone High,1
2021-07-23,Employee,Apopka High,1
2021-07-22,Vendor/Visitor,Human Resources,1
2021-07-22,Student,Vista Pointe Elementary,1
2021-07-22,Student,Palmetto Elementary,2
2021-07-22,Student,Orange Technical College - Mid Florida,1
2021-07-22,Student,Magnolia School,1
2021-07-22,Student,Ivey Lane Elementary,1
2021-07-22,Student,Colonial High,1
2021-07-22,Student,Baldwin Park Elementary,1
2021-07-22,Student,Alternative Education Centers,1
2021-07-22,Employee,Sunshine Elementary,1
2021-07-22,Employee,Operations,1
2021-07-22,Employee,Discovery Middle,1
2021-07-22,Employee,Cheney Elementary,1
2021-07-21,Student,Wedgefield School (K-8),1
2021-07-21,Student,Thornebrooke Elementary,1
2021-07-21,Student,Palm Lake Elementary,1
2021-07-21,Student,Hungerford Elementary,1
2021-07-21,Student,Boone High,1
2021-07-21,Employee,Operations,3
2021-07-21,Employee,Human Resources,1
2021-07-21,Employee,Facilities Services,2
2021-07-21,Employee,Edgewater High,1
2021-07-21,Employee,Azalea Park Elementary,1
2021-07-20,Student,West Oaks Elementary,1
2021-07-20,Student,Palm Lake Elementary,2
2021-07-20,Student,Magnolia School,1
2021-07-20,Student,Lancaster Elementary,1
2021-07-20,Student,Lake Silver Elementary,1
2021-07-20,Student,Dr. Phillips High,2
2021-07-20,Student,Castle Creek Elementary,1
2021-07-20,Student,Aloma Elementary,1
2021-07-20,Employee,Timber Springs Middle,1
2021-07-20,Employee,Pinewood Elementary,1
2021-07-20,Employee,Operations,2
2021-07-20,Employee,Human Resources,1
2021-07-20,Employee,Hiawassee Elementary,1
2021-07-20,Employee,East River High,2
2021-07-20,Employee,Bay Meadows Elementary,1
2021-07-19,Student,Wedgefield School (K-8),1
2021-07-19,Student,Summerlake Elementary,1
2021-07-19,Student,Rosemont Elementary,1
2021-07-19,Student,Evans High,1
2021-07-19,Student,Eccleston Elementary,4
2021-07-19,Student,Colonial High,1
2021-07-19,Employee,Wheatley Elementary,1
2021-07-19,Employee,West Creek Elementary,1
2021-07-19,Employee,Ventura Elementary,2
2021-07-19,Employee,Teaching and Learning,1
2021-07-19,Employee,Rolling Hills Elementary,1
2021-07-19,Employee,Rock Springs Elementary,1
2021-07-19,Employee,Operations,3
2021-07-19,Employee,OCPS Academic Center for Excellence,1
2021-07-19,Employee,Lake George Elementary,1
2021-07-19,Employee,Hidden Oaks Elementary,1
2021-07-19,Employee,Frangus Elementary,1
2021-07-19,Employee,Cypress Springs Elementary,1
2021-07-19,Employee,Corner Lake Middle,1
2021-07-19,Employee,Castleview Elementary,1
2021-07-19,Employee,Aloma Elementary,1
2021-07-17,Employee,Facilities Services,1
2021-07-16,Vendor/Visitor,Dommerich Elementary,1
2021-07-16,Student,Windermere High,1
