index,location,type,count,date
0,Andover Elementary,Students,1,2021-08-14
1,Castleview Elementary,Students,1,2021-08-14
2,Lake Sybelia Elementary,Students,1,2021-08-14
3,Lakemont Elementary,Students,1,2021-08-14
4,Orange Technical College - Mid Florida,Students,1,2021-08-14
5,Wyndham Lakes Elementary,Students,1,2021-08-14
6,Aloma Elementary,Students,1,2021-08-13
7,Apopka High,Students,5,2021-08-13
8,Avalon Elementary,Students,2,2021-08-13
9,Azalea Park Elementary,Students,2,2021-08-13
10,Baldwin Park Elementary,Students,3,2021-08-13
11,Bay Lake Elementary,Students,1,2021-08-13
12,Blankner School (K-8),Students,1,2021-08-13
13,Boone High,Students,1,2021-08-13
14,Cheney Elementary,Students,1,2021-08-13
15,Clay Springs Elementary,Students,1,2021-08-13
16,Corner Lake Middle,Students,1,2021-08-13
17,Discovery Middle,Students,1,2021-08-13
18,East River High,Students,1,2021-08-13
19,Engelwood Elementary,Students,1,2021-08-13
20,Glenridge Middle,Students,1,2021-08-13
21,Horizon West Middle,Students,1,2021-08-13
22,John Young Elementary,Students,1,2021-08-13
23,Jones High,Students,4,2021-08-13
24,Lake Buena Vista High,Students,1,2021-08-13
25,Lake Gem Elementary,Students,1,2021-08-13
26,Lake Nona Middle,Students,2,2021-08-13
27,Lake Whitney Elementary,Students,1,2021-08-13
28,Lakeview Middle,Students,2,2021-08-13
29,Laureate Park Elementary,Students,1,2021-08-13
30,Little River Elementary,Students,2,2021-08-13
31,Maxey Elementary,Students,2,2021-08-13
32,Meadow Woods Elementary,Students,1,2021-08-13
33,Memorial Middle,Students,1,2021-08-13
34,MetroWest Elementary,Students,2,2021-08-13
35,Moss Park Elementary,Students,2,2021-08-13
36,NorthLake Park Community School,Students,2,2021-08-13
37,Oakshire Elementary,Students,1,2021-08-13
38,Ocoee Elementary,Students,1,2021-08-13
39,Ocoee High,Students,6,2021-08-13
40,Olympia High,Students,1,2021-08-13
41,Orange Technical College - Mid Florida,Students,1,2021-08-13
42,Palm Lake Elementary,Students,3,2021-08-13
43,Prairie Lake Elementary,Students,1,2021-08-13
44,Rock Springs Elementary,Students,1,2021-08-13
45,Rosemont Elementary,Students,1,2021-08-13
46,Shingle Creek Elementary,Students,1,2021-08-13
47,South Creek Middle,Students,1,2021-08-13
48,Southwest Middle,Students,1,2021-08-13
49,Spring Lake Elementary,Students,5,2021-08-13
50,Summerlake Elementary,Students,2,2021-08-13
51,Sunset Park Elementary,Students,1,2021-08-13
52,Tildenville Elementary,Students,1,2021-08-13
53,University High,Students,1,2021-08-13
54,Ventura Elementary,Students,1,2021-08-13
55,Village Park Elementary,Students,1,2021-08-13
56,Vista Lakes Elementary,Students,1,2021-08-13
57,Vista Pointe Elementary,Students,3,2021-08-13
58,Water Spring Elementary,Students,3,2021-08-13
59,Wekiva High,Students,2,2021-08-13
60,West Creek Elementary,Students,1,2021-08-13
61,Westridge Middle,Students,1,2021-08-13
62,Whispering Oak Elementary,Students,1,2021-08-13
63,Windermere Elementary,Students,1,2021-08-13
64,Windermere High,Students,2,2021-08-13
65,Winter Park High,Students,1,2021-08-13
66,Aloma Elementary,Students,1,2021-08-12
67,Andover Elementary,Students,1,2021-08-12
68,Apopka Elementary,Students,1,2021-08-12
69,Apopka Memorial Middle,Students,1,2021-08-12
70,Avalon Middle,Students,1,2021-08-12
71,Blankner School (K-8),Students,1,2021-08-12
72,Brookshire Elementary,Students,1,2021-08-12
73,Castle Creek Elementary,Students,2,2021-08-12
74,Catalina Elementary,Students,1,2021-08-12
75,Conway Elementary,Students,1,2021-08-12
76,Corner Lake Middle,Students,3,2021-08-12
77,Dommerich Elementary,Students,3,2021-08-12
78,Eagle Creek Elementary,Students,1,2021-08-12
79,East Lake Elementary,Students,1,2021-08-12
80,East River High,Students,5,2021-08-12
81,Edgewater High,Students,3,2021-08-12
82,Evans High,Students,2,2021-08-12
83,Hillcrest Elementary,Students,1,2021-08-12
84,Hospital Homebound/Esteem Academy,Students,2,2021-08-12
85,Hunter’s Creek Elementary,Students,2,2021-08-12
86,Innovation Middle,Students,1,2021-08-12
87,Jones High,Students,1,2021-08-12
88,Lake Nona Middle,Students,2,2021-08-12
89,Lake Silver Elementary,Students,1,2021-08-12
90,Lakemont Elementary,Students,2,2021-08-12
91,Lakeview Middle,Students,1,2021-08-12
92,Lancaster Elementary,Students,1,2021-08-12
93,Lockhart Elementary,Students,1,2021-08-12
94,Lovell Elementary,Students,1,2021-08-12
95,Maitland Middle,Students,2,2021-08-12
96,Millennia Elementary,Students,1,2021-08-12
97,Millennia Gardens Elementary,Students,1,2021-08-12
98,Moss Park Elementary,Students,1,2021-08-12
99,Orange Center Elementary,Students,1,2021-08-12
100,Orange Technical College - Mid Florida,Students,1,2021-08-12
101,Orange Technical College - Winter Park,Students,1,2021-08-12
102,Palm Lake Elementary,Students,1,2021-08-12
103,Palmetto Elementary,Students,1,2021-08-12
104,Pineloch Elementary,Students,1,2021-08-12
105,Riverside Elementary,Students,1,2021-08-12
106,Rolling Hills Elementary,Students,1,2021-08-12
107,Sunridge Elementary,Students,2,2021-08-12
108,Sunset Park Elementary,Students,3,2021-08-12
109,Sunshine Elementary,Students,1,2021-08-12
110,Timber Creek High,Students,2,2021-08-12
111,Timber Lakes Elementary,Students,1,2021-08-12
112,University High,Students,2,2021-08-12
113,Waterbridge Elementary,Students,1,2021-08-12
114,Wedgefield School (K-8),Students,1,2021-08-12
115,West Orange High,Students,1,2021-08-12
116,Westbrooke Elementary,Students,1,2021-08-12
117,Westpointe Elementary,Students,1,2021-08-12
118,Westridge Middle,Students,1,2021-08-12
119,Whispering Oak Elementary,Students,2,2021-08-12
120,Windermere Elementary,Students,1,2021-08-12
121,Wolf Lake Middle,Students,1,2021-08-12
122,Wyndham Lakes Elementary,Students,1,2021-08-12
123,Aloma Elementary,Students,1,2021-08-11
124,Andover Elementary,Students,1,2021-08-11
125,Audubon Park School (K-8),Students,1,2021-08-11
126,Avalon Elementary,Students,1,2021-08-11
127,Azalea Park Elementary,Students,1,2021-08-11
128,Brookshire Elementary,Students,1,2021-08-11
