date,location,white,black,native,asian,pacific,multi,non-hisp,hisp,total,capacity
2021-05-17 00:00:00,Zellwood Elementary,72,22,1,1,1,4,51,49,594,578.0
2021-05-17 00:00:00,Wyndham Lakes Elementary,74,18,1,5,1,2,32,68,943,768.0
2021-05-17 00:00:00,Workforce Advantage Academy Charter,16,82,0,0,0,1,87,13,233,inf
2021-05-17 00:00:00,Wolf Lake Middle,62,32,0,2,0,4,68,32,1367,1132.0
2021-05-17 00:00:00,Wolf Lake Elementary,64,28,0,3,0,5,76,24,1004,736.0
2021-05-17 00:00:00,Winter Park High,77,10,0,8,0,4,69,31,3231,3656.0
2021-05-17 00:00:00,Winegard Elementary,72,23,1,2,1,1,30,70,669,770.0
2021-05-17 00:00:00,Windy Ridge K-8,72,13,0,11,0,4,54,46,1168,1156.0
2021-05-17 00:00:00,Windermere High School,82,8,0,7,0,2,61,39,4253,2753.0
2021-05-17 00:00:00,Windermere Elementary,81,4,0,11,1,3,83,17,650,726.0
2021-05-17 00:00:00,Whispering Oak Elementary,76,9,0,9,1,5,74,26,1069,659.0
2021-05-17 00:00:00,Wheatley Elementary,24,72,0,1,0,2,77,23,439,437.0
2021-05-17 00:00:00,Wetherbee Elementary,73,15,0,9,1,1,31,69,1111,758.0
2021-05-17 00:00:00,Westridge Middle,47,49,0,1,0,2,52,48,1214,1087.0
2021-05-17 00:00:00,Westpointe Elementary,65,27,0,4,0,4,49,51,646,791.0
2021-05-17 00:00:00,Westbrooke Elementary,62,26,1,5,1,5,68,32,566,785.0
2021-05-17 00:00:00,West Orange High,69,19,1,7,1,4,72,28,2330,3061.0
2021-05-17 00:00:00,West Oaks Elementary,6,92,0,0,1,1,92,8,546,552.0
2021-05-17 00:00:00,West Creek Elementary,72,8,1,14,1,4,46,54,716,642.0
2021-05-17 00:00:00,Wekiva High,44,50,1,3,0,2,69,31,1997,2798.0
2021-05-17 00:00:00,Wedgefield School,81,11,0,2,1,5,67,33,902,1054.0
2021-05-17 00:00:00,Waterford Elementary,72,15,0,5,1,7,50,50,570,721.0
2021-05-17 00:00:00,Waterbridge Elementary,79,13,1,3,1,3,30,70,660,814.0
2021-05-17 00:00:00,Water Spring Elementary,84,6,0,4,1,4,55,45,833,791.0
2021-05-17 00:00:00,Washington Shores Elementary,11,87,0,0,0,1,88,12,465,610.0
2021-05-17 00:00:00,Walker Middle,70,25,1,2,1,1,33,67,906,1126.0
2021-05-17 00:00:00,Vista Pointe Elementary,75,18,0,2,1,4,24,76,466,791.0
2021-05-17 00:00:00,Vista Lakes Elementary,75,13,1,8,1,3,40,60,615,731.0
