location,addr,level,lat,long
114-E-W-4,"10151 SUMMERLAKE GROVES STREET WINTER GARDEN, FL 34787",Elementary,28.4259124,-81.6192633
118-E-SW-4,"FUTURE SOUTHWEST LC ELEMENTARY ORLANDO, FL",Elementary,28.469325,-81.4924659
30-E-SE-3,"3001 STONEWYCK STREET ORLANDO, FL 32824",Elementary,28.3565901,-81.3257927
72-E-W-7,"FUTURE WEST LC ELEMENTARY ORLANDO, FL",Elementary,28.5198922,-81.4934674
89-E-W-4,"FUTURE WEST LC ELEM ORLANDO, FL",Elementary,28.5198922,-81.4934674
90-K8-N-7,"4700 JASON DWELLEY PARKWAY APOPKA, FL 32712",Elementary,28.7526671,-81.5432045
ACCELERATION EAST,"2274 S SEMORAN BLVD ORLANDO, FL 32822-2704",Elementary,28.5179377,-81.3116603
ACCELERATION WEST,"2751 LAKE STANLEY RD ORLANDO, FL 32818-8619",Elementary,28.580012,-81.49465099999999
ACCESS CHARTER,"6000 E COLONIAL DR ORLANDO, FL 32807-3482",Elementary,28.5592046,-81.3068025
ALOMA ELEMENTARY,"2949 SCARLET RD WINTER PARK, FL 32792-4353",Elementary,28.5983052,-81.30852209999999
ANDOVER ELEMENTARY,"3100 SANCTUARY POINT BLVD ORLANDO, FL 32825-2746",Elementary,28.5070807,-81.2228597
APOPKA ELEMENTARY,"311 VICK RD APOPKA, FL 32712-1408",Elementary,28.6843683,-81.5246782
ARBOR RIDGE K-8,"2900 LOGANDALE DR ORLANDO, FL 32817-1839",Elementary,28.5877024,-81.2534751
ASPIRE ACADEMY CHARTER,"928 MALONE DR ORLANDO, FL 32810-5530",Elementary,28.6088548,-81.39501229999999
AUDUBON PARK SCHOOL,"1500 FALCON DR ORLANDO, FL 32803-2215",Elementary,28.5662684,-81.3471605
AVALON ELEMENTARY,"13500 TANJA KING BLVD ORLANDO, FL 32828-7765",Elementary,28.5113079,-81.1490791
AZALEA PARK ELEMENTARY,"1 CAROL AVE ORLANDO, FL 32807-1764",Elementary,28.54517,-81.313397
BALDWIN PARK ELEMENTARY,"1750 COMMON WAY RD ORLANDO, FL 32814-6328",Elementary,28.5658554,-81.3325713
BAY LAKE ELEMENTARY,"12005 SILVERLAKE PARK DR WINDERMERE, FL 34786",Elementary,28.4421837,-81.5646129
BAY MEADOWS ELEMENTARY,"9150 S APOPKA VINELAND RD ORLANDO, FL 32836-5725",Elementary,28.4343524,-81.5058063
BETA,"4680 LAKE UNDERHILL RD ORLANDO, FL 32807-1182",Elementary,28.5379108,-81.32679069999999
BLANKNER K-8,"2500 S MILLS AVE ORLANDO, FL 32806-4716",Elementary,28.5147308,-81.3648614
BONNEVILLE ELEMENTARY,"14700 SUSSEX DR ORLANDO, FL 32826-3833",Elementary,28.5847873,-81.1824365
BRIDGEPREP ACADEMY CHARTER,"5710 LA COSTA DR ORLANDO, FL 32807-2908",Elementary,28.5271949,-81.30925289999999
